ppd_id,PlanName,fy,Notes_Fees,NoFeeData,group_fees,group_id,est_proportion,EQTotal_Fee,FITotal_Fee,RETotal_Fee,AltMiscTotal_Fee,PETotal_Fee,HFTotal_Fee,COMDTotal_Fee,CashTotal_Fee,OtherTotal_Fee
3,Alaska PERS,2009,2009 AK PERS CAFR p99,,,,,12427,1171,10632,,3224,3274,3914,,
3,Alaska PERS,2010,2010 AK PERS CAFR p84,,,,,13966,1351,9704,,3740,3563,5532,,
3,Alaska PERS,2011,2011 AK PERS CAFR p84,,,,,15858,1725,8690,,4073,4130,4972,,
3,Alaska PERS,2012,2012 AK PERS CAFR p87,,,,,17503,2329,7812,,5350,4261,5640,,
3,Alaska PERS,2013,2013 AK PERS CAFR p93,,,,,15408,2576,8854,,5417,3642,6089,,
3,Alaska PERS,2014,2014 AK PERS CAFR p94,,,,,17816,2896,8273,,16712,4211,7498,,
3,Alaska PERS,2015,2015 AK PERS CAFR p93,,,,,19799,3501,6733,,7296,7600,8133,,
3,Alaska PERS,2016,2016 AK PERS CAFR p90,,,,,18246,3912,7185,,7753,16227,8353,,
3,Alaska PERS,2017,2017 AK PERS CAFR p101; in 2017 real estate and real assets reported together. ,,,,,24038,4895,18993,,7815,15868,,,
4,Alaska Teachers,2005,2005 AK TRS CAFR p70; no real estate fees reported in 2005,,,,,6456,769,,,558,557,66,,
4,Alaska Teachers,2006,2006 AK TRS CAFR p76,,,,,8500,821,4367,,952,1381,218,,
4,Alaska Teachers,2007,2007 AK TRS CAFR p93,,,,,8484,605,3947,,906,1941,369,,
4,Alaska Teachers,2008,2008 AK TRS CAFR p96,,,,,8541,619,4328,,1294,1757,849,,
4,Alaska Teachers,2009,2009 AK TRS CAFR p97,,,,,5921,514,4657,,1435,1438,1713,,
4,Alaska Teachers,2010,2010 AK TRS CAFR p81,,,,,6118,633,4175,,1704,1544,2443,,
4,Alaska Teachers,2011,2011 AK TRS CAFR p83,,,,,6820,748,3579,,1743,1719,2101,,
4,Alaska Teachers,2012,2012 AK TRS CAFR p85,,,,,7360,982,3181,,2256,1748,2319,,
4,Alaska Teachers,2013,2013 AK TRS CAFR p91,,,,,6574,1057,3686,,1878,1494,2494,,
4,Alaska Teachers,2014,2014 AK TRS CAFR p92,,,,,7309,1188,3385,,2804,1727,3076,,
4,Alaska Teachers,2015,2015 AK TRS CAFR p91,,,,,8123,1437,3437,,3195,3805,4271,,
4,Alaska Teachers,2016,2016 AK TRS CAFR p89,,,,,9137,2083,3576,,4629,7741,3644,,
4,Alaska Teachers,2017,2017 AK TRS CAFR p99; in 2017 real estate and real assets reported together. ,,,,,11857,2420,9417,,3864,7126,,,
5,Arizona Public Safety,2005,,1,,,,,,,,,,,,
5,Arizona Public Safety,2006,,1,,,,,,,,,,,,
5,Arizona Public Safety,2007,,1,,,,,,,,,,,,
5,Arizona Public Safety,2008,,1,,,,,,,,,,,,
5,Arizona Public Safety,2009,,1,,,,,,,,,,,,
5,Arizona Public Safety,2010,,1,,,,,,,,,,,,
5,Arizona Public Safety,2011,,1,,,,,,,,,,,,
5,Arizona Public Safety,2012,,1,,,,,,,,,,,,
5,Arizona Public Safety,2013,,1,,,,,,,,,,,,
5,Arizona Public Safety,2014,No fee data broken down by asset class in plan CAFR - broken down by investment consultant.  ,1,,,,,,,,,,,,
5,Arizona Public Safety,2015,"2015 AZ PSPRS CAFR p105; p38 for investment expense proportion; Same fees as Arizona CORP (ppd_id 127);  Fees > income statement inv. expense because some of these fees are deducted from the fund on a net basis, and others are classified and reported as an inv. expense. ",,1,8,0.72601438,11900,4100,27700,,22300,50800,12000,,
5,Arizona Public Safety,2016,2016 AZ PSPRS CAFR; Same fees as Arizona CORP (ppd_id 127); Fees reported are the same as in 2015. ,,1,8,0.72691768,11900,4100,27700,,22300,50800,12000,,
5,Arizona Public Safety,2017,2017 AZ PSPRS CAFR p77 - Add together individual listings; p36 for total investment expense propotions. Same fees as Arizona CORP (ppd_id 127); The way fees are presented and level of fees changes dramatically from 2016 to 2017; but total investment expenses as presented in income statement also drops.,,1,8,0.73098373,3945,195,5777,,20217,9565,15793,,
6,Arizona SRS,2005,,1,,,,,,,,,,,,
6,Arizona SRS,2006,,1,,,,,,,,,,,,
6,Arizona SRS,2007,No fee data broken down by asset class in plan CAFR - broken down by investment consultant.  ,1,,,,,,,,,,,,
6,Arizona SRS,2008,2008 SRS CAFR p75; Public equity and fixed income fees reported together. ,,,,,,,23715,,7341,,,,50363
6,Arizona SRS,2009,2009 SRS CAFR p95-98,,,,,,,38014,,24660,2099,,,39352
6,Arizona SRS,2010,2010 SRS CAFR,,,,,,,37491,,24561,5692,,,48426
6,Arizona SRS,2011,2011 SRS CAFR,,,,,,,25250,,29266,11475,,,62290
6,Arizona SRS,2012,2012 SRS CAFR,,,,,,,30561,,45943,3932,,,57469
6,Arizona SRS,2013,2013 SRS CAFR,,,,,,,39601,,58419,23893,,,66857
6,Arizona SRS,2014,2014 SRS CAFR,,,,,37375,5830,19494,,43513,30880,4781,,
6,Arizona SRS,2015,"2015 SRS CAFR; 2016 and earlier, mnagement fees only - no performance fees",,,,,37898,6023,22069,,43658,34813,4524,,
6,Arizona SRS,2016,"2016 SRS CAFR; 2016+, management fees AND performance fees are reported (hence, the jump).  Prior to 2016, only management fees reported.",,,,,27666,4205,61518,,115658,36210,6371,,
6,Arizona SRS,2017,2017 SRS CAFR p109,,,,,26772,4292,78852,,220053,44935,9178,,
7,Arkansas PERS,2005,2005 APERS CAFR p47,,,,,9935,1855,,2425,,,,,
7,Arkansas PERS,2006,2006 APERS CAFR,,,,,13030,1893,,2762,,,,,
7,Arkansas PERS,2007,2007 APERS CAFR,,,,,14243,2015,,3991,,,,,
7,Arkansas PERS,2008,2008 APERS CAFR,,,,,14500,2114,,4487,,,,,
7,Arkansas PERS,2009,2009 APERS CAFR,,,,,8260,1882,,4168,,,,,
7,Arkansas PERS,2010,2010 APERS CAFR,,,,,11433,2033,503,3049,,,,,
7,Arkansas PERS,2011,2011 APERS CAFR,,,,,12991,2034,1025,3096,,,,,
7,Arkansas PERS,2012,2012 APERS CAFR,,,,,12224,2038,4744,,,660,,,
7,Arkansas PERS,2013,"RE fees includes Real Estate, REITS, Energy Funds, and Timber",,,,,15114,2034,5221,,,2148,,,
7,Arkansas PERS,2014,2014 APERS CAFR,,,,,17260,2079,6454,,,2622,,,
7,Arkansas PERS,2015,2015 APERS CAFR,,,,,18159,2176,6334,,,2807,,,
7,Arkansas PERS,2016,2016 APERS CAFR,,,,,15876,2207,8257,,,2783,,,
7,Arkansas PERS,2017,2017 APERS CAFR p91,,,,,16502,2282,9201,,,2933,,,
8,Arkansas Teachers,2005,,1,,,,,,,,,,,,
8,Arkansas Teachers,2006,,1,,,,,,,,,,,,
8,Arkansas Teachers,2007,,1,,,,,,,,,,,,
8,Arkansas Teachers,2008,,1,,,,,,,,,,,,
8,Arkansas Teachers,2009,,1,,,,,,,,,,,,
8,Arkansas Teachers,2010,,1,,,,,,,,,,,,
8,Arkansas Teachers,2011,,1,,,,,,,,,,,,
8,Arkansas Teachers,2012,,1,,,,,,,,,,,,
8,Arkansas Teachers,2013,,1,,,,,,,,,,,,
8,Arkansas Teachers,2014,,1,,,,,,,,,,,,
8,Arkansas Teachers,2015,,1,,,,,,,,,,,,
8,Arkansas Teachers,2016,,1,,,,,,,,,,,,
8,Arkansas Teachers,2017,No fee data in plan CAFR or investment report. ,1,,,,,,,,,,,,
9,California PERF,2005,2005 CALPERF CAFR p78; p95,,,,,74946,10622,175034,,175647,12370,,,
9,California PERF,2006,2006 CALPERF CAFR p69; p85,,,,,83791,16337,256862,,196364,17283,,,
9,California PERF,2007,2007 CALPERF CAFR p80; 100,,,,,125628,14908,282881,,249913,41869,,,
9,California PERF,2008,2008 CALPERF CAFR p81; 99,,,,,135432,7432,233014,,376259,93925,,,
9,California PERF,2009,2009 CALPERF CAFR p77; p97,,,,,105241,12093,249993,,486932,110725,,,
9,California PERF,2010,2010 CALPERF CAFR p84; p106,,,,,83480,11675,192635,,510082,227201,,,
9,California PERF,2011,2011 CALPERF CAFR p83; p107,,,,,140753,15980,288299,,516858,223691,,,
9,California PERF,2012,2012 CALPERF CAFR p87; p111,,,,,100298,11212,283228,,494167,102696,,,
9,California PERF,2013,2013 CALPERF CAFR p98; p121,,,,,87995,12741,472568,,476142,115734,,,
9,California PERF,2014,2014 CALPERF CAFR p90; p111,,,,,148605,6669,866441,,439799,129919,,,
9,California PERF,2015,2015 CALPERF CAFR p95; p114,,,,,144047,7035,620292,,414137,62674,,,
9,California PERF,2016,2016 CALPERF CAFR p89,,,,,147403,4949,457926,,696291,,,,
9,California PERF,2017,2017 CALPERF CAFR p93; p116; add together management fees and profit sharing for private equity on p116,,,,,103950,5838,243661,,688915,2689,,,
10,California Teachers,2005,2005 CALSTRS CAFR p45,,,,,64424,6152,18886,,2717,,,,
10,California Teachers,2006,2006 CALSTRS CAFR,,,,,71961,6232,20102,,3485,,,,
10,California Teachers,2007,2007 CALSTRS CAFR,,,,,95188,6086,24726,,3678,,,,
10,California Teachers,2008,2008 CALSTRS CAFR,,,,,132083,15753,23436,,4390,,,,
10,California Teachers,2009,2009 CALSTRS CAFR p61; p76,,,,,86748,12258,21808,,3600,,,,
10,California Teachers,2010,2010 CALSTRS CAFR p67; 83,,,,,98081,21025,22813,,10453,278,,248,
10,California Teachers,2011,2011 CALSTRS CAFR p77;97,,,,,77341,20123,24669,,9714,521,,173,
10,California Teachers,2012,2012 CALSTRS CAFR,,,,,94863,14436,25099,,8702,408,,458,
10,California Teachers,2013,2013 CALSTRS CAFR,,,,,102896,16509,26947,,9315,140,,559,12593
10,California Teachers,2014,2014 CALSTRS CAFR,,,,,133970,18797,47585,,10317,12738,,276,
10,California Teachers,2015,2015 CALSTRS CAFR,,,,,120181,18947,48831,,8584,13869,,745,
10,California Teachers,2016,2016 CALSTRS CAFR,,,,,126234,20811,14167,,7772,18108,,1503,
10,California Teachers,2017,"2017 CALSTRS CAFR p115; 2017 absolute return is comprised of risk mitigating strategies, innovative strategies, and strategic overlay. ",,,,,167417,20343,15546,,7650,17688,,782,
11,Chicago Teachers,2005,2005 CTPF CAFR p60,,,,,15240,1726,8339,,3716,,,,
11,Chicago Teachers,2006,2006 CTPF CAFR,,,,,16161,1775,8666,,4756,,,,
11,Chicago Teachers,2007,2007 CTPF CAFR,,,,,18352,1770,10904,,4798,,,,
11,Chicago Teachers,2008,2008 CTPF CAFR,,,,,20616,1809,12220,,4866,,,,
11,Chicago Teachers,2009,2009 CTPF CAFR,,,,,13711,1594,9313,,4985,,2991,,
11,Chicago Teachers,2010,2010 CTPF CAFR,,,,,15657,1409,9584,,5350,1079,4801,,
11,Chicago Teachers,2011,2011 CTPF CAFR,,,,,17220,1568,10604,,5592,1619,4027,,
11,Chicago Teachers,2012,2012 CTPF CAFR,,,,,16289,1337,10793,,5041,1958,3982,,
11,Chicago Teachers,2013,2013 CTPF CAFR,,,,,16239,1688,10375,,5622,400,3792,,
11,Chicago Teachers,2014,2014 CTPF CAFR,,,,,18667,1619,9213,,4942,430,2799,,
11,Chicago Teachers,2015,2015 CTPF CAFR,,,,,18174,1871,9003,,4264,454,2287,,
11,Chicago Teachers,2016,2016 CTPF CAFR,,,,,16163,1896,8742,,4376,440,2395,,
11,Chicago Teachers,2017,2017 CTPF CAFR p80,,,,,17797,1860,7530,,4033,,2820,,
12,Austin ERS,2005,2005 COAERS CAFR p65,,,,,2501,342,684,,,,,,
12,Austin ERS,2006,2006 COAERS CAFR,,,,,3298,296,771,,,,,,
12,Austin ERS,2007,2007 COAERS CAFR,,,,,2815,312,838,,,,,,
12,Austin ERS,2008,2008 COAERS CAFR,,,,,3445,206,177,,,,,,
12,Austin ERS,2009,2009 COAERS CAFR,,,,,3484,201,537,,,,,,
12,Austin ERS,2010,2010 COAERS CAFR,,,,,4611,306,575,,,,,,
12,Austin ERS,2011,2011 COAERS CAFR,,,,,6051,669,687,,,,,,
12,Austin ERS,2012,2012 COAERS CAFR,,,,,5962,907,985,,,,,,
12,Austin ERS,2013,2013 COAERS CAFR,,,,,5992,644,1109,,,,,,
12,Austin ERS,2014,2014 COAERS CAFR,,,,,5842,632,1246,,130,285,,,
12,Austin ERS,2015,2015 COAERS CAFR,,,,,6760,515,1423,,248,402,65,,
12,Austin ERS,2016,2016 COAERS CAFR,,,,,4440,365,1586,,528,393,53,,
12,Austin ERS,2017,2017 COAERS CAFR p78,,,,,4246,499,1727,,596,425,58,,
13,Colorado Municipal,2005,2005 COPERA CAFR p63; COPERA aggregate fees,,1,13,0.06618645,16545,3017,51547,,50664,,3071,,
13,Colorado Municipal,2006,COPERA aggregate fees,,1,13,0.069428504,19168,3190,42079,,51239,,3443,,
13,Colorado Municipal,2007,COPERA aggregate fees,,1,13,0.071623102,20567,3963,39028,,48195,,11025,,
13,Colorado Municipal,2008,2008 COPERA CAFR p70; COPERA aggregate fees,,1,13,0.073253207,15703,3693,28822,,50601,-916,,,
13,Colorado Municipal,2009,COPERA aggregate fees,,1,13,0.062603697,16196,3043,33449,,50347,3827,,,
13,Colorado Municipal,2010,COPERA aggregate fees,,1,13,0.073441699,19726,2341,55593,,55459,5624,,,
13,Colorado Municipal,2011,COPERA aggregate fees,,1,13,0.076143861,23298,2216,45274,,47819,5684,,267,
13,Colorado Municipal,2012,COPERA aggregate fees,,1,13,0.078706048,30038,2392,44820,,46878,6564,,316,
13,Colorado Municipal,2013,COPERA aggregate fees,,1,13,0.079782255,37742,2624,34270,,45727,7159,,390,
13,Colorado Municipal,2014,COPERA aggregate fees,,1,13,0.081415877,39202,3790,41859,,50078,6736,,410,
13,Colorado Municipal,2015,COPERA aggregate fees,,1,13,0.085438371,34650,5034,48695,,48304,8086,,461,
13,Colorado Municipal,2016,COPERA aggregate fees,,1,13,0.086563297,30694,4488,46104,,50760,9353,,512,
13,Colorado Municipal,2017,2017 COPERA CAFR p126;  investment expense proportions from 2017 COPERS CAFR p60; COPERA aggregate fees,,1,13,0.08762373,31800,4806,43911,,54878,15836,,427,
14,Colorado School,2005,2005 COPERA CAFR p63; COPERA aggregate fees,,1,13,0.55654436,16545,3017,51547,,50664,,3071,,
14,Colorado School,2006,COPERA aggregate fees,,1,13,0.55654436,19168,3190,42079,,51239,,3443,,
14,Colorado School,2007,COPERA aggregate fees,,1,13,0.55637801,20567,3963,39028,,48195,,11025,,
14,Colorado School,2008,2008 COPERA CAFR p70; COPERA aggregate fees,,1,13,0.55633265,15703,3693,28822,,50601,-916,,,
14,Colorado School,2009,COPERA aggregate fees,,1,13,0.5583967,16196,3043,33449,,50347,3827,,,
14,Colorado School,2010,COPERA aggregate fees,,1,13,0.51312387,19726,2341,55593,,55459,5624,,,
14,Colorado School,2011,COPERA aggregate fees,,1,13,0.51780516,23298,2216,45274,,47819,5684,,267,
14,Colorado School,2012,COPERA aggregate fees,,1,13,0.51821077,30038,2392,44820,,46878,6564,,316,
14,Colorado School,2013,COPERA aggregate fees,,1,13,0.51919144,37742,2624,34270,,45727,7159,,390,
14,Colorado School,2014,COPERA aggregate fees,,1,13,0.51973778,39202,3790,41859,,50078,6736,,410,
14,Colorado School,2015,COPERA aggregate fees,,1,13,0.5189423,34650,5034,48695,,48304,8086,,461,
14,Colorado School,2016,COPERA aggregate fees,,1,13,0.52010185,30694,4488,46104,,50760,9353,,512,
14,Colorado School,2017,2017 COPERA CAFR p126;  investment expense proportions from 2017 COPERS CAFR p60; COPERA aggregate fees,,1,13,0.52112818,31800,4806,43911,,54878,15836,,427,
15,Colorado State,2005,2005 COPERA CAFR p63; COPERA aggregate fees,,1,13,0.36213827,16545,3017,51547,,50664,,3071,,
15,Colorado State,2006,COPERA aggregate fees,,1,13,0.36213827,19168,3190,42079,,51239,,3443,,
15,Colorado State,2007,COPERA aggregate fees,,1,13,0.35953048,20567,3963,39028,,48195,,11025,,
15,Colorado State,2008,2008 COPERA CAFR p70; COPERA aggregate fees,,1,13,0.35745236,15703,3693,28822,,50601,-916,,,
15,Colorado State,2009,COPERA aggregate fees,,1,13,0.36847159,16196,3043,33449,,50347,3827,,,
15,Colorado State,2010,COPERA aggregate fees,,1,13,0.32335401,19726,2341,55593,,55459,5624,,,
15,Colorado State,2011,COPERA aggregate fees,,1,13,0.32387882,23298,2216,45274,,47819,5684,,267,
15,Colorado State,2012,COPERA aggregate fees,,1,13,0.32160282,30038,2392,44820,,46878,6564,,316,
15,Colorado State,2013,COPERA aggregate fees,,1,13,0.3198849,37742,2624,34270,,45727,7159,,390,
15,Colorado State,2014,COPERA aggregate fees,,1,13,0.31815547,39202,3790,41859,,50078,6736,,410,
15,Colorado State,2015,COPERA aggregate fees,,1,13,0.31576189,34650,5034,48695,,48304,8086,,461,
15,Colorado State,2016,COPERA aggregate fees,,1,13,0.31430936,30694,4488,46104,,50760,9353,,512,
15,Colorado State,2017,2017 COPERA CAFR p126;  investment expense proportions from 2017 COPERS CAFR p60; COPERA aggregate fees,,1,13,0.31281787,31800,4806,43911,,54878,15836,,427,
16,Connecticut SERS,2005,2005 CIF CAFR - add up fee categories listed in text (example: 2005 CIF CAFR p57 mutual equity mgmt fees added into total equity); CIF aggregate fees,,1,11,0.38447413,49796,7178,1490,,5884,,,564,
16,Connecticut SERS,2006,CIF aggregate fees,,1,11,0.38541973,53707,8217,1645,,6049,,,428,
16,Connecticut SERS,2007,CIF aggregate fees,,1,11,0.38685036,40777,9228,1368,,5284,,,480,
16,Connecticut SERS,2008,CIF aggregate fees,,1,11,0.37713528,43979,8352,4034,,11100,,,595,
16,Connecticut SERS,2009,CIF aggregate fees,,1,11,0.37704179,36025,12435,4604,,9156,,,778,
16,Connecticut SERS,2010,CIF aggregate fees,,1,11,0.36411914,50917,13248,3962,,9978,,,3281,
16,Connecticut SERS,2011,CIF aggregate fees,,1,11,0.36551046,57671,13291,3846,,9352,710,,4499,
16,Connecticut SERS,2012,CIF aggregate fees,,1,11,0.35569867,53740,12592,3985,,8537,901,,5729,
16,Connecticut SERS,2013,CIF aggregate fees,,1,11,0.36075014,58232,16249,4968,,7367,1126,,6047,
16,Connecticut SERS,2014,CIF aggregate fees,,1,11,0.35977846,56257,15297,8277,,6051,1026,,5493,
16,Connecticut SERS,2015,CIF aggregate fees,,1,11,0.36403397,58803,17614,6532,,4916,1215,,5452,
16,Connecticut SERS,2016,CIF aggregate fees,,1,11,0.36403397,59470,18370,8638,,5323,1114,,1959,
16,Connecticut SERS,2017,2017 CIF CAFR - add up fee categories listed in text (example: 2017 CIF CAFR p73 mutual equity mgmt fees added into total equity); CIF aggregate fees,,1,11,0.37463197,62290,23442,10406,,4816,996,,2892,
17,Connecticut Teachers,2005,2005 CIF CAFR - add up fee categories listed in text (example: 2005 CIF CAFR p57 mutual equity mgmt fees added into total equity); CIF aggregate fees,,1,11,0.54184049,49796,7178,1490,,5884,,,564,
17,Connecticut Teachers,2006,CIF aggreagte fees,,1,11,0.54325563,53707,8217,1645,,6049,,,428,
17,Connecticut Teachers,2007,CIF aggreagte fees,,1,11,0.53842682,40777,9228,1368,,5284,,,480,
17,Connecticut Teachers,2008,CIF aggreagte fees,,1,11,0.55873621,43979,8352,4034,,11100,,,595,
17,Connecticut Teachers,2009,CIF aggreagte fees,,1,11,0.56070101,36025,12435,4604,,9156,,,778,
17,Connecticut Teachers,2010,CIF aggreagte fees,,1,11,0.56115299,50917,13248,3962,,9978,,,3281,
17,Connecticut Teachers,2011,CIF aggreagte fees,,1,11,0.56673151,57671,13291,3846,,9352,710,,4499,
17,Connecticut Teachers,2012,CIF aggreagte fees,,1,11,0.5617975,53740,12592,3985,,8537,901,,5729,
17,Connecticut Teachers,2013,CIF aggreagte fees,,1,11,0.5729025,58232,16249,4968,,7367,1126,,6047,
17,Connecticut Teachers,2014,CIF aggreagte fees,,1,11,0.5662331,56257,15297,8277,,6051,1026,,5493,
17,Connecticut Teachers,2015,CIF aggreagte fees,,1,11,0.55897444,58803,17614,6532,,4916,1215,,5452,
17,Connecticut Teachers,2016,CIF aggreagte fees,,1,11,0.55897444,59470,18370,8638,,5323,1114,,1959,
17,Connecticut Teachers,2017,2017 CIF CAFR - add up fee categories listed in text (example: 2017 CIF CAFR p73 mutual equity mgmt fees added into total equity); CIF aggregate fees,,1,11,0.54585022,62290,23442,10406,,4816,996,,2892,
18,Contra Costa County,2005,2005 CCCERA CAFR p56,,,,,6731,4101,4209,,2431,,,10,
18,Contra Costa County,2006,2006 CCCERA CAFR,,,,,9093,4558,4246,,2771,,,9,
18,Contra Costa County,2007,2007 CCCERA CAFR,,,,,10118,6324,4273,,3994,,,10,
18,Contra Costa County,2008,2008 CCCERA CAFR,,,,,8264,5269,4285,,7087,,,5,
18,Contra Costa County,2009,2009 CCCERA CAFR,,,,,7625,6359,5305,,5527,,,7,
18,Contra Costa County,2010,2010 CCCERA CAFR,,,,,8216,6571,6692,,6864,,,11,
18,Contra Costa County,2011,2011 CCCERA CAFR,,,,,9348,6053,6020,,7123,,,13,
18,Contra Costa County,2012,2012 CCCERA CAFR,,,,,10808,5918,7832,,7850,,,12,
18,Contra Costa County,2013,2013 CCCERA CAFR,,,,,10607,6447,9550,,8142,,946,6,
18,Contra Costa County,2014,2014 CCCERA CAFR,,,,,12550,6053,10020,,8480,,1834,7,
18,Contra Costa County,2015,2015 CCCERA CAFR,,,,,12807,6716,10166,,8454,,2302,4,
18,Contra Costa County,2016,2016 CCCERA CAFR,,,,,12941,5125,11215,,11735,1889,732,21,
18,Contra Costa County,2017,2017 CCCERA CAFR p62,,,,,14903,4530,6777,,11451,1914,661,435,
19,DC Police & Fire,2005,,1,,,,,,,,,,,,
19,DC Police & Fire,2006,,1,,,,,,,,,,,,
19,DC Police & Fire,2007,,1,,,,,,,,,,,,
19,DC Police & Fire,2008,,1,,,,,,,,,,,,
19,DC Police & Fire,2009,,1,,,,,,,,,,,,
19,DC Police & Fire,2010,,1,,,,,,,,,,,,
19,DC Police & Fire,2011,,1,,,,,,,,,,,,
19,DC Police & Fire,2012,,1,,,,,,,,,,,,
19,DC Police & Fire,2013,,1,,,,,,,,,,,,
19,DC Police & Fire,2014,,1,,,,,,,,,,,,
19,DC Police & Fire,2015,,1,,,,,,,,,,,,
19,DC Police & Fire,2016,,1,,,,,,,,,,,,
19,DC Police & Fire,2017,No fee data broken down by asset class in plan CAFR or investment reports.  ,1,,,,,,,,,,,,
20,DC Teachers,2005,,1,,,,,,,,,,,,
20,DC Teachers,2006,,1,,,,,,,,,,,,
20,DC Teachers,2007,,1,,,,,,,,,,,,
20,DC Teachers,2008,,1,,,,,,,,,,,,
20,DC Teachers,2009,,1,,,,,,,,,,,,
20,DC Teachers,2010,,1,,,,,,,,,,,,
20,DC Teachers,2011,,1,,,,,,,,,,,,
20,DC Teachers,2012,,1,,,,,,,,,,,,
20,DC Teachers,2013,,1,,,,,,,,,,,,
20,DC Teachers,2014,,1,,,,,,,,,,,,
20,DC Teachers,2015,,1,,,,,,,,,,,,
20,DC Teachers,2016,,1,,,,,,,,,,,,
20,DC Teachers,2017,No fee data broken down by asset class in plan CAFR or investment reports.  ,1,,,,,,,,,,,,
21,Delaware State Employees,2005,2005 DPERS CAFR p64; Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.94701743,13700,1600,,,1200,,,100,
21,Delaware State Employees,2006,Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.94072062,15300,1300,,,500,,,100,
21,Delaware State Employees,2007,Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.93415165,15200,2800,,,400,,,200,
21,Delaware State Employees,2008,Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.93604702,14800,4100,,,100,,,100,
21,Delaware State Employees,2009,Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.9381004,10100,2200,,,1500,,,,
21,Delaware State Employees,2010,Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.93149102,11300,2900,,,1800,,,,
21,Delaware State Employees,2011,Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.92695725,14000,3200,,,1700,,,,
21,Delaware State Employees,2012,Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.91795087,13200,3000,,,1400,,,,
21,Delaware State Employees,2013,Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.91740006,14800,2400,,,100,,,,
21,Delaware State Employees,2014,Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.91224182,17400,2200,,,,,,,
21,Delaware State Employees,2015,Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.90704501,18700,2500,,,,,,,
21,Delaware State Employees,2016,Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.90244752,15000,2800,,,,,,,
21,Delaware State Employees,2017,2017 DPERS CAFR p81; Fees reported include other small Delaware state pension funds not included in the PPD. ,,1,,0.89927292,15800,2900,,,,,,,
22,Denver Employees,2005,2005 DERP CAFR p49,,,,,4043,1024,1905,,,497,,,
22,Denver Employees,2006,2006 DERP CAFR,,,,,4240,1036,2304,,,919,,,
22,Denver Employees,2007,2007 DERP CAFR,,,,,4498,1082,2506,,,881,,,
22,Denver Employees,2008,2008 DERP CAFR,,,,,3903,1095,2418,,,1005,,,
22,Denver Employees,2009,2009 DERP CAFR,,,,,3110,970,1699,,,934,,,
22,Denver Employees,2010,2010 DERP CAFR,,,,,3372,615,1572,,,939,,,
